Marca temporal,Grado de dificultad del hito 5 con respecto a la metodología,¿Cuantas horas de trabajo adicionales le has dedicado a este hito?,Uso del material de la asignatura,¿Cómo has resuelto las dudas?,"Al final de la asignatura, ¿crees que el método de clase invertida es mejor para el estudiante que la clase tradicional?","¿Qué probabilidad hay de que sigas usando Vagrant, Ansible, métodos de despliegue en otras asignaturas o tu TFG?",¿Qué te parece el sistema de evaluación automática usando integración continua?,Sugerencias
21/12/2017 12:23:19,2,Más de 4 horas por semana,Entre un 25 y un 50,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Buscando por Internet",Sí,5,Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,
21/12/2017 12:34:16,5,Entre 2 y 4 horas por semana,Entre un 50 y un 75,"Preguntando al profesor en clase, por Telegram o en la tutoría, Buscando por Internet",Sí,5,La primera y la tercera :),
21/12/2017 12:34:58,3,Hasta 2 horas por semana,Entre un 50 y un 75,Buscando por Internet,Sí,4,Me ayuda a entregar una práctica con menos errores.,
21/12/2017 12:37:12,5,Entre 2 y 4 horas por semana,100%,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Buscando por Internet, Por el grupo de Telegram ""oficial""",Sí,5,Primera y tercera D:,
21/12/2017 12:40:24,3,Entre 2 y 4 horas por semana,Entre un 25 y un 50,"Preguntando a los compañeros., Buscando por Internet",Sí,4,Me complica la vida porque no entiendo los errores.,
21/12/2017 13:21:57,5,Más de 4 horas por semana,Entre un 50 y un 75,"Preguntando a los compañeros., Buscando por Internet",No,3,Me complica la vida porque no entiendo los errores.,
21/12/2017 13:41:27,5,Entre 2 y 4 horas por semana,Entre un 75 y un 100,"Preguntando a los compañeros., Buscando por Internet",Sí,4,Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,
21/12/2017 16:47:27,1,Más de 4 horas por semana,Menos de un 25,"Preguntando al profesor en clase, por Telegram o en la tutoría, Buscando por Internet",Sí,3,Me ayuda a entregar una práctica con menos errores.,
21/12/2017 19:23:26,4,Más de 4 horas por semana,100%,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Buscando por Internet, Por el grupo de Telegram ""oficial"", Grupos de telegram de Python",No,5,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal., Te prepara para el desarrollo de aplicaciones en la empresa",Hacer una mezcla entre la clase magistral y la invertida. Las clases del hito V creo que han sido las mejores
21/12/2017 19:24:36,2,Hasta 2 horas por semana,100%,Buscando por Internet,Sí,5,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
21/12/2017 19:34:56,1,Más de 4 horas por semana,Entre un 75 y un 100,"Preguntando a los compañeros., Buscando por Internet",Sí,4,Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,
21/12/2017 21:07:58,3,Más de 4 horas por semana,Entre un 75 y un 100,"Preguntando al profesor en clase, por Telegram o en la tutoría, Buscando por Internet",Sí,3,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
22/12/2017 10:54:30,3,Más de 4 horas por semana,Entre un 25 y un 50,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Buscando por Internet",Sí,3,"Me ayuda a entregar una práctica con menos errores., Me complica la vida porque no entiendo los errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
22/12/2017 12:12:58,2,Más de 4 horas por semana,Entre un 75 y un 100,"Preguntando al profesor en clase, por Telegram o en la tutoría, Buscando por Internet",Sí,5,Me ayuda a entregar una práctica con menos errores.,
22/12/2017 23:06:57,4,Entre 2 y 4 horas por semana,Entre un 50 y un 75,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros.",Sí,4,Me ayuda a entregar una práctica con menos errores.,
24/12/2017 20:54:42,3,Hasta 2 horas por semana,Entre un 25 y un 50,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Por el grupo de Telegram ""oficial""",Sí,4,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
28/12/2017 19:26:32,4,Entre 2 y 4 horas por semana,Entre un 50 y un 75,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Buscando por Internet, Por el grupo de Telegram ""oficial""",Sí,5,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
28/12/2017 19:32:08,1,Más de 4 horas por semana,Entre un 50 y un 75,"Preguntando a los compañeros., Buscando por Internet",Sí,2,"Me complica la vida porque no entiendo los errores., Hace de algo simple algo muy complicado. No es justo que por no poner bien una coma o un carácter como no se debe, que te eche para detrás todo tu trabajo.",
29/12/2017 1:15:22,4,Entre 2 y 4 horas por semana,Entre un 50 y un 75,"Preguntando al profesor en clase, por Telegram o en la tutoría, Preguntando a los compañeros., Buscando por Internet, Por el grupo de Telegram ""oficial""",Sí,3,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
7/01/2018 19:38:37,2,Hasta 2 horas por semana,Entre un 25 y un 50,"Preguntando a los compañeros., Buscando por Internet",Sí,3,"Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.",
