Marca temporal,Grado de dificultad de la cuarta práctica con respecto a la metodología,¿Cuantas horas de trabajo adicionales le has dedicado a la asignatura? (no cuenta el hackatón),Uso del material de la asignatura,¿Cómo has resuelto las dudas?,¿Estás usando o crees que usarás lo aprendido en la asignatura para otras o fuera de la misma?,"¿En general, te ha parecido mejor la filosofía de clase invertida que la de clase magistral tradicional?",Sugerencias para mejorar la asignatura en la siguiente iteración,¿Qué has usado de IV en otras asignaturas?,¿Dónde has usado esos contenidos?,Cuenta con tus propias palabras qué has aprendido,"En caso de poder elegirla como optativa, ¿recomendarás que se elija esta asignatura?","En general, la asignatura ¿ha respondido a tu expectativas?",Comenta los aspectos positivos de la asignatura,Comenta los aspectos negativos o en los que se debe mejorar en la asignatura,Comenta los aspectos negativos por los que no la recomendarías,"Comenta los aspectos positivos que, a pesar de todo, hayas visto",¿Hay alguna materia que te hubiera gustado ver y no has visto?,¿Qué te ha parecido la experiencia de la última práctica?
26/01/2014 19:45:32,4,Entre 5 y 10 horas,Entre un 75 y un 100,"Preguntando al profesor en clase, Usando los issues de GitHub, Buscando por Internet",Sí,Mucho mejor,No necesita mejora ,,,Ha trabajar con el github crear flujo de trabajo y centralizar lo que voy s realizar ,Sí,Muy por encima de mis expectativas,Buen ritmo de trabajo amena eh interesante ,Se deberia mejorar en los ejercicios algunos temas tienen demasiado ,,,No creo que he visto todo lo que esperaba ,Positiva
26/01/2014 20:03:27,2,Entre 10 y 20 horas.,Entre un 25 y un 50,"Preguntando al profesor en clase, Preguntando a los compañeros., Buscando por Internet",Sí,Mucho mejor,Quizás sea mejor dar mas rápido algunas cosas del principio para poder llegar antes a cosas como el aprovisionamiento,,,"He aprendido lo que es la computación en la nube, a entender el precio al que hay que vender el uso en un servidor, lo que es un Sas un las y un pas, a crear y aprovisionar maquinas virtuales locales y remotas intentando decidir que configuración y SO es mejor y por qué. También he aprendido a crear contenedores para aislar recursos. A virtualizar almacenamiento. El lenguaje ruby. Y por ultimo a entender y utilizar un sistema de gestión de versiones como es git",Sí,Muy por encima de mis expectativas,"Es una asignatura muy distinta al resto de la carrera, tanto por el contenido como por la metodología. Se aprenden muchas cosas que no afectan solo a la asignatura, como es el trabajo en equipo o el sistema de gestión de versiones o el despliegue de aplicaciones.","Al principio es bastante facil llevar la asignatura al día porque los ejercicios no son muy dificiles lo cual hace que te confies un poco, y en los últimos temas hay que trabajar mucho más, ya que se dan muchas cosas interesantes no solo para la asignatura, y que quizás sería mejor tener mas tiempo para ellos",,,En principio no,Muy positiva
26/01/2014 20:04:54,3,Hasta 5 horas,Menos de un 25,"Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,,,,He adquirido un montón de conocimientos sobre la Infraestructura Virtual que hasta el momento desconocia. ,Sí,De acuerdo con mis expectativas,,,,,"No, me ha parecido un curso bastante lleno de contenido. ",Muy positiva
26/01/2014 20:07:39,4,Entre 10 y 20 horas.,Entre un 75 y un 100,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,"Este tipo de clase está muy bien, para mi ha sido innovadora puesto que nunca he seguido esta metodología, el único problema que le veo es que quizá alguna clase si se podría explicar la parte gorda del tema en cuestión que toque hacer para estar un poco más metidos en el papel.

También se le echan muuuuuuuchas horas, no por tantos ejercicios en si, sino por los problemas que acarrean las configuraciones, instalaciones de SO, VM... que producen muchos conflictos entre todo... y si que se podría dar unos leves consejos de cómo dejar la distribución que se use de Linux para estar a punto con la asignatura y no haya que estar instalando y desinstalando paquetes por falta de memoria (Avisar de que se usarán muchos gigas).

Por lo que a mi respecta, me ha parecido muy interesante, es más, he ido a casi todas las clases sin ser obligatorias y he participado más que en otras que es obligatoria la asistencia a clase.",,,"La verdad esque se aprende bastante, el problema (en mi caso) que tiendo a mezclas las cosas cuando empiezo a meter muchos tipos de conceptos parecidos pero diferentes (contenedores, jaulas, hipervisores, VM, etc...)
Muy interesante el aprendizaje de Git debido a que en un futuro y siento todos Informáticos de alguna rama o especialidad, es obligatoriamente necesario usar un control de versiones y si no es Git, por lo menos saber el uso, los conceptos, mejoras, de usar un control de versiones.
Me llevo un sano recuerdo de un buen profesor que no has formulado una pregunta cuando ya te ha contestado y que ha estado ahí cuando lo necesitas.
La actitud de siempre (en mi caso) la de esforzarme por hacer un buen trabajo y que me llene motivación saber que ha sido bien recompensado, que gusta y merece la pena por lo menos echarle un vistazo.
Pienso que las aptitudes se cogen con la experiencia, pero que siempre viene muy bien tener una buena base para poder empezar y que sea mucho más fácil profundizar en la materia (Infraestructuras Virtuales).
He aprendido pues muchas cosas sobre las Infraestructuras virtuales, desde una VM en un ordenador propio hasta el uso de aplicaciones en la nube, algo que en un futuro muy próximo nos será de gran utilidad a la mayoría de los desarrolladores que vayan a crear aplicaciones web o cualquier tipo de infraestructura que necesite de internet.",Sí,Por encima de mis expectativas,"Pues más o menos ya los he comentado en las otras preguntas. Muy interesante, a parte de la visita a Trevenque.

Aspectos a mejorar... pues quizá explicar en cada tema la parte que pueda ser más compleja o avisar para que no pille desprevenidos a los alumnos en caso de que una configuración pueda resultar compleja, muy entretenida, etc...","No tengo aspectos negativos sobre la asignatura, quizá el poner tantos ejercicios que puedan ser muy entretenidos y llevar más tiempo de la cuenta. Pero claro, no se tienen porqué hacer todos, siempre y cuando se cumplan los objetivos, en tal caso... está perfecto (siempre y cuando se cumplan con otros ejercicios esos objetivos, jeje).",,,"La verdad que como no estoy muy puesto en todo lo que engloba las Infraestructuras Virtuales, no sé si se ha podido escapar algo que sea interesante o más que lo dado. Para mi es una grata sorpresa saber que no es tan complicado montar servidores con ciertas configuraciones específicas, configurarlos para tener una configuración lo más óptima posible y con el menos uso de recursos pudiendo ahorrarse una empresa, persona emprendedora...  muchos costes en servidores dedicados, o en más recursos de los necesarios..",Muy positiva
26/01/2014 21:13:57,4,Entre 5 y 10 horas,Entre un 50 y un 75,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Mucho mejor,Pienso que el hackaton se debía haber hecho antes de navidad para no coincidir con la época de examenes y tabajos finales. Por lo demás me parece un gran método educativo.,,,"El manejo de las infraestructuras virtuales y la comprensión de éstas así como soltura en el manejo de distintos sistemas operativos y en multitud de herramientas muy útiles como git, markdown pienso que van a ser de mucha utilidad en mi carrera.",Sí,Por encima de mis expectativas,El sistema de aprendizaje es uno de los aspecto mas positivos de la asignatura. ,Como aspecto negativo se podría decir que vemos demasiadas herramientas diferentes y en algunos momentos resulta un tanto estresante poner a funcionar algunas de ellas sobre todo cuando se ven otras que hacen prácticamente lo mismo y son sencillas de configurar,,,"No, pienso que hemos visto muchas herramientas diferentes dentro del campo.",Muy positiva
26/01/2014 21:22:40,4,Más de 20 horas.,Entre un 25 y un 50,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Peor,"El día 1 habría que decirle a los alumnos que preparen un Ubuntu 12.04 LTS y mucha capacidad de disco, de esta manera se ahorrarán problemas cuando la asignatura avanza.",,,"He aprendido que existen muchos tipos de máquinas virtuales, no sólo las que se usan habitualmente con VirtualBox o VMWare. Bajo mi punto de vista lo más interesante que he aprendido es el uso de git, seguido de las máquinas virtuales en la nube y de los sistemas de aprovisionamiento. Estoy seguro que utilizaré todas esas tecnologías a lo largo de mi vida profesional.",Sí,De acuerdo con mis expectativas,Aprendes muchas herramientas que se usan hoy en día y son muy útiles para el futuro.,"El tema de la clase invertida es algo que no me ha terminado de convencer (aunque no coincida con la mayoría). El hecho de tener que estar ""molestando"" al profesor cada dos por tres para resolver dudas puede hacer que alguien tímido pierda interés en la asignatura.",,,"Nada, quizás haberle dedicado más tiempo a las posibilidades de sistemas en la nube que ofrecen plataformas como Azure o AWS más allá de las máquinas virtuales.",Muy positiva
26/01/2014 21:42:01,4,Entre 10 y 20 horas.,Entre un 50 y un 75,Preguntando a los compañeros.,Sí,Mucho mejor,"Desde el punto de vista de alguien que ha tenido que participar en el hackatón desde la distancia, creo que seria conveniente dar un alternativa para la gente que no pueda asistir, ya que si bien tecnicamente es posible colaborar online, el hecho de que todo el mundo este reunido en un sitio menos una persona hace la comunicacion muy complicada y supone una molestia extra para el resto del grupo. Si bien cuando se planteo el hackatón en el correo se decia que la participación era voluntaria, el hecho de que no participar cuente como un suspenso lo hace bastante obligatario. Por ese motivo creo que deberia existir una alternativa, aunque no opte al 100% de la nota de la practica, pero algo que al menos permita no estar suspenso.

Tambien sugeriria que se revisara el tema de azure, ya que la limitacion de la invitaciones creo que puede suponer un problema.",,,He aprendido el funcionamiento de la infraestructura que hay detrás del cloud y las herramientas que se requieren para montarla y mantenerla.,Sí,De acuerdo con mis expectativas,,,,,Pues en principio no se me ocurre nada.,Positiva
26/01/2014 22:40:22,5,Más de 20 horas.,Entre un 25 y un 50,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",No,Mucho mejor,"No sé como explicarlo exactamente, pero algunas aplicaciones que se han usado en los ejercicios no se ha conseguido ver una utilidad realmente práctica en ellas, lo mismo con una ejemplificación en una situación más real, como por ejemplo en el caso de Ceph se vería más útil dentro de lo que se pudiera, y hacer más énfasis en otras aplicaciones como Docker que se ven mucho más interesante y útiles. Más aprovisionamiento que puede ser muy útil.",,,"Muchos aspectos, pero sobretodo aprender a usar git ha sido una auténtica revolución, muy práctico en muchos campos y útil en un futuro. Además usar máquinas virtuales que se salen de las típicas soluciones como VMware, aprender a usar aprovisionamiento.",Sí,Por encima de mis expectativas,"Si trabajas, aprendes bastante y se supone que sacaremos todos notas bastantes buenas.","Más que aspectos negativos, es lo típico de ser una asignatura nueva, hay contenido que ha dado la sensación de haber quedado como más descolgado o que se debería haber dado antes o después, pero al fin y al cabo nada realmente importante.",,,"Si fuera posible incluir un seminario o nociones básicas sobre compilación de kernel Linux para buscar construir sistemas con el mejor rendimiento a la hora de construir soluciones de infraestructura virtual ""personalizadas"", o simplemente montar infraestructuras virtuales con kernel personalizados, que algo como modificar y compilar un kernel propio puede ser muy interesante y no se ve en toda la carrera.",Muy positiva
26/01/2014 22:57:15,2,Entre 10 y 20 horas.,Entre un 75 y un 100,Buscando por Internet,Sí,Mejor,,,,"En verdad que el flujo de trabajo con git y github lo usaré como forma de trabajo. El uso de PaaS e IaaS me ha parecido interesante y lo usaré para futuros proyectos.  El concepto de los contenedores y jaulas me ha parecido interesante. Docker es el futuro del despliegue de la aplicaciones. Vagrant es una herramienta que tiene que ser usada como plataforma de staging.
Y finalmente, los sistemas de provisionamiento como Ansible y Chef los usaré para todos los futuros proyectos.",Sí,Por encima de mis expectativas,Salgo de la asignatura con una visión positiva de la metodología inversa. Además que todo lo que hemos aprendido puedes alicarlo en todos los sectores,,,,"Sobre git hubiera querido haber trabajado más sobre pull requests, branches",Positiva
27/01/2014 18:38:35,4,Entre 5 y 10 horas,Entre un 75 y un 100,"Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,"Si se mantiene el hackatón , cosa que me ha parecido muy interesante y productivo, se nos podría orientar un poco para usar los contenidos de la asignatura. Al plantearnos los proyectos creo que algunos alumnos no sabían muy bien cómo integrar los conocimientos de la asignatura en lo que nos pedían.

También al respecto del hackatón intentar que no caiga en la última semana de clase. Aunque supongo que son las fechas más interesantes porque ya se ha dado todo el contenido de la asignatura, se nos han acumulado muchas entregas para esta semana y no nos hemos podido dedicar al hackatón 100%.",,,"He conocido diferentes técnicas de virtualización, aislar máquinas usando contenedores, crear máquinas virtuales con y sin hipervisores. He visto muy muy positivo las clases y salidas ""extra-académicas"", nos acercan un poco a lo que nos encontramos luego  fuera de la facultad. ",Sí,Muy por encima de mis expectativas,"Gracias a JJ por la actitud e implicación en la asignatura. En toda la carrera no nos enseñan nada sobre Infraestructuras virtuales, me alegro que sea una asignatura que toque conceptos e ideas actuales y no usemos técnicas obsoletas de hace 20 años.",,,,"Quizá algo más sobre seguridad y redundancia de datos, aunque no veo que haya mucho hueco para ver más, el calendario académico está bastante justo.",Muy positiva
